DracoX  259.808203826 57.938868534 PA=0.0
    545680 17:17:42.160 57:47:037.90 2000.0 22.579   I    1 2
    727455 17:17:42.170 58:04:017.10 2000.0 23.201   I    1 2
    695435 17:17:42.220 58:00:043.70 2000.0 24.191   I    1 2
    556254 17:17:42.270 57:48:044.70 2000.0 23.202   I    1 2
    642383 17:17:42.280 57:56:033.20 2000.0 24.419   I    1 2
    591676 17:17:42.410 57:52:017.60 2000.0 23.378   I    1 2
    686321 17:17:42.460 57:59:053.30 2000.0 21.384   I    1 2
    698270 17:17:42.460 58:01:000.90 2000.0 23.420   I    1 2
    585874 17:17:42.510 57:51:043.00 2000.0 23.747   I    1 2
    659405 17:17:42.520 57:57:047.90 2000.0 20.570   I    1 2
    574231 17:17:42.550 57:50:034.80 2000.0 23.629   I    1 2
    651668 17:17:42.550 57:57:013.50 2000.0 20.854   I    1 2
    666786 17:17:42.550 57:58:021.90 2000.0 22.748   I    1 2
    618078 17:17:42.720 57:54:045.30 2000.0 24.323   I    1 2
    680798 17:17:42.760 57:59:026.20 2000.0 22.050   I    1 2
    695613 17:17:42.790 58:00:044.90 2000.0 24.065   I    1 2
    582207 17:17:42.830 57:51:022.40 2000.0 24.029   I    1 2
    607777 17:17:42.840 57:53:050.80 2000.0 22.448   I    1 2
    609981 17:17:42.850 57:54:003.00 2000.0 22.212   I    1 2
    579419 17:17:42.870 57:51:006.20 2000.0 19.177   I  481 1
    679450 17:17:42.880 57:59:020.10 2000.0 22.843   I    1 2
    643798 17:17:42.910 57:56:039.50 2000.0 23.271   I    1 2
    720345 17:17:42.920 58:03:027.90 2000.0 24.222   I    1 2
    600945 17:17:42.930 57:53:010.70 2000.0 21.225   I    1 2
    733787 17:17:42.970 58:05:002.50 2000.0 22.058   I    1 2
    730647 17:17:43.030 58:04:040.50 2000.0 21.430   I    1 2
    551073 17:17:43.070 57:48:012.90 2000.0 20.838   I    1 2
    610632 17:17:43.090 57:54:006.70 2000.0 18.361   I  482 1
    592752 17:17:43.100 57:52:024.00 2000.0 23.422   I    1 2
    638197 17:17:43.160 57:56:015.30 2000.0 22.944   I    1 2
